KEY,NOTES,ENGLISH,FRENCH
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.","Une forme de silice imprégnée de la magie des océans, ce qui en fait un favori des marins et des pêcheurs."
GEM.PAINITE.ADJECTIVE,,Painite,Painite
GEM.PAINITE.NOUN,,Painite,Painite
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,Une pierre précieuse très rare qui est souvent identifiée comme un saphir décoloré. Les cristaux sont naturellement hexagonaux et un favori des tacticiens.
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,Rhodochrosite
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,Rhodochrosite
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,"Trouvé dans différentes nuances de rouge à rose. Il n'est pas aussi dur que la plupart des pierres précieuses, ce qui en fait un mauvais choix pour les bagues et autres bijoux à fort impact."
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,en quartz
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,Quartz
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,La forme la plus pure de quartz. Les cristaux de roche sont souvent présents dans des artefacts magiques car ils sont une forme condensée de l'élément de glace.
GEM.RUBY.ADJECTIVE,,Ruby,en rubis
GEM.RUBY.NOUN,,Ruby,Rubis
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.","L'une des sept pierres célestes, les rubis sont l'élément du feu condensé dans une forme solide."
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,en saphir
GEM.SAPPHIRE.NOUN,,Sapphire,Saphir
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.","Souvent censés protéger le porteur de l'attention des démons, les saphirs sont très recherchés par les mages pour une utilisation dans le ciel et la magie aérienne."
GEM.SPINEL.ADJECTIVE,,Spinel,en spinelle
GEM.SPINEL.NOUN,,Spinel,Spinelle
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","Souvent confondus avec des pierres célestes comme de vrais rubis et saphirs, les spinelles sont une forme moindre de gemme imprégnée de magie qui peut être associée à n'importe quel élément, selon la couleur."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,en tanzanite
GEM.TANZANITE.NOUN,,Tanzanite,Tanzanite
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,Une pierre précieuse rare qui peut alterner entre le bleu et le violet. Il est supposé être formé à partir du corps matériel d'un dieu mort.
GEM.TOPAZ.ADJECTIVE,,Topaz,en topaze
GEM.TOPAZ.NOUN,,Topaz,Topaze
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.","Parfois confondue avec la gemme {{GEM.CITRINE.NOUN}} plus commune, la topaze peut être trouvée en plusieurs couleurs, mais le plus souvent un brun jaunâtre. Il a d'abord été découvert sur une île qui n'existe plus."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,en tourmaline
GEM.TOURMALINE.NOUN,,Tourmaline,Tourmaline
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,Souvent trouvé à côté de {{ORE.CASSITERITE.ADJECTIVE}} minerai. Il est parfois associé à la magie de la terre.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,en turquoise
GEM.TURQUOISE.NOUN,,Turquoise,Turquoise
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,Un minéral bleu-vert souvent utilisé dans les décorations. On pense qu'il porte bonne chance au porteur. Il est souvent infusé avec l'élément de la terre.

GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Collectant : {{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetZoneMaterial}},Boire {{targetZoneMaterial}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Manger {{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Transportant : {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Libre
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Va dormir
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Transférant : {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Ajouter/retirer des cases
GUI.ADD_TILES,This should be as short as possible,Add tiles,Ajouter des cases
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient atmosphere effect volume:,Volume de l'effet de l'atmosphère ambiante :
GUI.BACK_LABEL,This should be as short as possible,Back,"Retour "
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Pont
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Portes
GUI.BUILD.WALLS,,Walls,Murs
GUI.BUILD.WALLS.LSHAPE,For building two walls in an L-shape,L-shape,En L
GUI.BUILD.WALLS.QUAD,For building 4 walls at once,Quad,En carré
GUI.BUILD.WALLS.SINGLE,For building a single wall,Single,Simple
GUI.BUILD_FURNITURE,This should be as short as possible,Furniture,Meubles
GUI.BUILD_LABEL,This should be as short as possible,Build,"Construire "
GUI.CANCEL_LABEL,This should be as short as possible,Cancel,"Annuler "
GUI.CHANGE_PROFESSION_LABEL,,Change profession,Changer de profession
GUI.CROP_SELECTION,,Crop:,Culture :
GUI.DATE_TIME_LABEL,"E.g. 09:20, day 4, spring","{{timeOfDay}}, day {{dayNumber}}, {{season}}","{{timeOfDay}}, jour {{dayNumber}}, {{season}}"
GUI.DIALOG.DISMISS,,Dismiss,Rejeter
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Une chambre avec ce nom existe déjà.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,Le fichier de sauvegarde n'a pas pu être chargé car il est incompatible avec cette version du jeu.
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Une erreur s'est produite
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Une erreur inattendue s'est produite lors du chargement du jeu.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Une erreur inattendue s'est produite lors de la sauvegarde du jeu.
GUI.DIALOG.INFO_TITLE,,Information,
GUI.DIALOG.JUMP_TO,,Go to location,Aller à l'emplacement
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,La traduction de la langue sélectionnée est actuellement incomplète et il manque du texte. Un langage de secours sera utilisé.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,"You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted, or alternatively you can click 'apply' in the mods menu.",
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,OK,OK
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,Renommer la salle
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Appartient à {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Retrait en cours
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,Ce meuble doit être placé sur {{materialType}}.
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Plein écran
GUI.GRAPHICS.RESOLUTION,,Resolution,Résolution
GUI.LEAVE_CROP_FALLOW,,None (Leave fallow),Vide (en jachère)
GUI.MINIMAP.LABEL,,Minimap,Minimap
GUI.MUSIC_VOLUME,,Music volume:,Volume de la musique:
GUI.NEW_VERSION_AVAILABLE,,New version now available on Itch.io,Nouvelle version maintenant disponible sur Itch.io
GUI.NEXT_LABEL,This should be as short as possible,Next,Suivant
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Ce meuble ne peut pas être tourné dans cette version du jeu
GUI.OK_LABEL,This should be as short as possible,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Options sonores
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,Rendre les arbres transparents lors de l'obscurcissement des colons
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,Pause pour les notifications
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ","Options de jeu "
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,Faites défiler lorsque le curseur est sur le bord de l'écran
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","Options graphiques "
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,Autoriser les rapports d'incident automatiques
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Divers
GUI.ORDERS.CHOP_WOOD,This should be as short as possible,Chop,Couper
GUI.ORDERS.CLEAR_GROUND,This should be as short as possible,Clear,Arracher
GUI.ORDERS.HARVEST_PLANTS,This should be as short as possible,Harvest,"Récolter "
GUI.ORDERS.MINE,This should be as short as possible,Mine,Miner
GUI.ORDERS_LABEL,This should be as short as possible,Orders,"Ordres "
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,Un pont doit couvrir les deux côtés de la rivière et avoir au moins 3x3 tuiles de taille
GUI.REMOVE_LABEL,This should be as short as possible,Remove,Retirer
GUI.REMOVE_TILES,This should be as short as possible,Remove tiles,Retirer des cases
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,Ressources
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},Disponible : {{count}}
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,Appuyez sur (R) pour pivoter les meubles
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,Sauvegarde en cours...
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},Mort : {{count}}
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},Population : {{count}}
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,Les colons
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},Total : {{count}}
GUI.SOUND_EFFECT_VOLUME,,Sound effect volume,Volume des effets sonores
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,Dimension de l'interface:
GUI.ZONES_LABEL,This should be as short as possible,Zones,Zones

HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,A mangé un repas bien préparé
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,A porté un cadavre
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,Bavit de l'eau de rivière
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,- Affamé
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,Déshydraté de façon critique
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,Optimiste quant à la nouvelle colonisation
HAPPINESS_MODIFIER.POISONED,,Poisoned,Empoisonné
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,J'ai vu un cadavre
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom",Dormir dans une chambre spacieuse et privée
HAPPINESS_MODIFIER.SLEPT_IN_PRIVATE_BEDROOM,,Slept in a private bedroom,Dormi dans une chambre privée
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,Partagé une chambre avec d'autres
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,Dormi dans une chambre à l'étroit
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,Dormi sur sol rugueux
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,Dormi sous les étoiles
HAPPINESS_MODIFIER.TITLE,,Happiness:,Bonheur :
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,Très faim
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,Très soif
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,Extrêmement fatigué

HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},{{quantity}} affecté à {{targetDescription}}

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}","{{name}}, {{madness.adjectif}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{profession.noun}} {{race.adjective}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,Pâte
INGREDIENT.FLOUR,,Flour,Farine
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,Miche
INGREDIENT.LOAF.PLURAL,,Loaves,Miches
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,Fai de champignons
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,Fai de champignons
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.","Également connu sous le nom de mycélium, cela peut être considéré comme des « graines » à partir desquelles cultiver des champignons dans un {{ROOMS.MUSHROOM_FARM}}."
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,Graine :
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,Graines :
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,Les graines du bon type sont nécessaires pour la plantation dans un {{ROOMS.FARM}}. Ils doivent également être disponibles dans un stock {{STOCKPILE.GRANARY}}.
INGREDIENT.VEGETABLE.SACK.NOUN,E.g. “Sack containing a potato”,Sack,Sac :

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,Inventaire :

ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}}

ITEM_GROUP.FUEL.PLURAL,,Fuel,Carburant
ITEM_GROUP.PRODUCT.PLURAL,,Products,Produits
ITEM_GROUP.RESOURCE.PLURAL,,Resources,Ressources
ITEM_GROUP.TOOL.PLURAL,,Tools,Outils

LANGUAGE.LABEL,,Language,Langue

LIQUID.WATER.NOUN,,Water,Eau

MADNESS.BROKEN.ADJECTIVE,,Broken,Cassé
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ",Ce colon était si malheureux qu'ils ont été poussés au-delà du point de rupture et ne vont plus travailler ou même manger !

MATERIAL,Used for specifying which material something is made out of,Material,Matériau

MATERIAL_TYPE,,Type,Sorte
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,Tous
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,Terre
MATERIAL_TYPE.EARTH.NOUN,,Earth,Terre
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,Aliments
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,Gemme
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,en métal
MATERIAL_TYPE.METAL.NOUN,,Metal,Métal
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,Minerai
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,Autre
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,Graine
MATERIAL_TYPE.STONE.ADJECTIVE,,,en pierre
MATERIAL_TYPE.STONE.NOUN,,Stone,Pierre
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,Légumes
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,Vitriol de
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,Vitriol
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,en bois
MATERIAL_TYPE.WOOD.NOUN,,Wood,Bois

MENU.CONTINUE_GAME,,Continue game,Continuer
MENU.MODS,,Mods,Mods
MENU.NEW_GAME,,Start new game,Nouvelle partie
MENU.OPTIONS,,Options,Options
MENU.QUIT,,Quit,Quitter
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,Plein écran

METAL.BRONZE.ADJECTIVE,,Bronze,en bronze
METAL.BRONZE.NOUN,,Bronze,Bronze
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented in King under the Mountain),Le bronze est un alliage de cuivre et d'étain. Il est plus dur et beaucoup plus durable que le cuivre seul. (Les alliages n'ont pas encore été mis en œuvre à King sous la montagne)
METAL.COPPER.ADJECTIVE,,Copper,en cuivre
METAL.COPPER.NOUN,,Copper,Cuivre
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.","En plus de se présenter naturellement comme {{ORE.NATIVE_COPPER.NOUN}}, il est également facile à éperler à partir de {{ORE.MALACHITE.NOUN}} minerai. Le cuivre a de nombreuses utilisations, en particulier dans la monnaie, bien qu'il ne soit pas assez difficile de créer des armes efficaces."
METAL.GOLD.ADJECTIVE,,Golden,en or
METAL.GOLD.NOUN,,Gold,Or
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.","Le roi des métaux. Bien qu'il ne soit pas le plus rare ou le plus précieux, l'or est le métal le plus convoité par la plupart des races — en particulier les nains."
METAL.IRON.ADJECTIVE,,Iron,en fer
METAL.IRON.NOUN,,Iron,Fer
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,C'est une armée pauvre qui n'a pas accès au fer. Les métallurgistes nains connaissent les secrets de l'opération dans {{METAL.STEEL.NOUN}}.
METAL.PLATINUM.ADJECTIVE,,Platinum,Platine
METAL.PLATINUM.NOUN,,Platinum,Platine
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,Un métal argenté très résistant à la corrosion. Le platine est plus rare et donc plus précieux que {{METAL.GOLD.NOUN}}.
METAL.SILVER.ADJECTIVE,,Silver,Argent
METAL.SILVER.NOUN,,Silver,Argent
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ","Comme {{METAL.GOLD.NOUN}}, l'argent est souvent utilisé pour la monnaie et comme barres solides pour le commerce de la richesse."
METAL.STEEL.ADJECTIVE,,Steel,en acier
METAL.STEEL.NOUN,,Steel,Acier
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.","Bien plus fort que {{METAL.IRON.NOUN}} qui fait des armes et des outils supérieurs, seuls les nains connaissent le secret de la création de l'acier."
METAL.TIN.ADJECTIVE,,Tin,Boîte
METAL.TIN.NOUN,,Tin,Étain
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented in King under the Mountain),L'étain peut être fondu à partir de {{ORE.CASSITERITE.NOUN}} et allié avec {{METAL.COPPER.NOUN}} pour produire {{METAL.BRONZE.NOUN}}. (Les alliages n'ont pas encore été mis en œuvre à King sous la montagne)

MODS.APPLY,,Apply,
MODS.COMPATIBILITY.COMPATIBLE,,Yes,
MODS.COMPATIBILITY.INCOMPATIBLE,,No,
MODS.COMPATIBILITY.UNKNOWN,,Unknown,
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:",
MODS.TABLE.COMPATIBILITY,,Compatible?,
MODS.TABLE.ENABLED,,Enabled?,
MODS.TABLE.NAME,,Mod Name,
MODS.TABLE.ORDERING,,Re-order,
MODS.TABLE.VERSION,,Mod Version,

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{materialType.noun}}

NEEDS.DRINK,,Drink,Boisson
NEEDS.FOOD,,Food,Aliments
NEEDS.SLEEP,,Sleep,Dormez

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,Vos mineurs ont découvert une nouvelle zone !
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,Exploration
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.","{{character}}, est décédé en raison de {{reason}}."
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},Décédé pour {{reason}}
NOTIFICATION.DEATH.TITLE,,Settler death,Décès d'un colon
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,Toutes les choses doivent prendre fin. Votre colonie est abandonnée.
NOTIFICATION.GAME_OVER.TITLE,,Game Over,Game Over
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,La prospérité de votre établissement a attiré un certain nombre de nouveaux immigrants pour stimuler votre population.
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,Immigration
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,Une zone s'est effondrée en raison d'un manque de piliers et de supports.
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining collapse,Effondrement de l'exploitation minière
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,La difficulté éprouvante s'est révélée trop difficile à gérer pour {{character}}.
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental break,Pause mentale

ORE.BAUXITE.ADJECTIVE,,Bauxite,Bauxite
ORE.BAUXITE.NOUN,,Bauxite,Bauxite
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.","La bauxite est le minerai primaire de l'aluminium. Malheureusement, un moyen de production d'aluminium n'a pas encore été découvert."
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,Charbon bitumineux
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,Charbon bitumineux
