KEY,NOTES,ENGLISH,FRENCH
SEED.BERSERKER_SPAWN.TOOLTIP,{{VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP}},A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,Un champignon avec un chapeau rose-rouge portant des taches blanches. Il a des propriétés hallucinogènes que les guerriers utilisent parfois pour préparer la bataille.
SEED.CARROT_SEED,,Carrot,Carotte
SEED.CARROT_SEED.TOOLTIP,{{VEGETABLE.CARROT.TOOLTIP}},"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Un légume racinaire robuste qui survit au gel {{SEASON.WINTER}}. Les carottes poussent rapidement mais ne produisent qu'une petite récolte. Peut être planté dans {{SEASON.SPRING}}, {{SEASON.SUMMER}} ou {{SEASON.AUTOMN}}."
SEED.CORN_SEED,,Corn,Maïs
SEED.CORN_SEED.TOOLTIP,{{VEGETABLE.CORN.TOOLTIP}},"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.","Un grain de céréales également connu sous le nom de maïs. Il produit une récolte abondante mais prend environ 2 saisons pour croître et ne peut pas survivre à {{SEASON.WINTER}}, donc il faut planter au début de {{SEASON.SPRING}}."
SEED.DEATH_CAP_SPAWN,,Death cap,Casquette de mort
SEED.DEATH_CAP_SPAWN.TOOLTIP,{{VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP}},"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.",Un champignon très toxique avec un chapeau large et plat. Manger même une petite quantité causera presque certainement un empoisonnement qui peut conduire à la mort.
SEED.ELFSBANE_SPAWN,,Elfsbane,Elfsbane
SEED.ELFSBANE_SPAWN.TOOLTIP,{{VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP}},"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.","Ce champignon a un goût simple et sans saveur pour la plupart des humanoïdes. Curieusement, il a un goût absolument dégoûtant pour les elfes, qui réagissent souvent avec des vomissements explosifs à la consommation, ou dans des cas extrêmes, une crise cardiaque."
SEED.FIST_SPAWN,,Fist,Poing
SEED.FIST_SPAWN.TOOLTIP,{{VEGETABLE.FIST_MUSHROOM.TOOLTIP}},A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,Un champignon noir-bleu au goût métallique. Il est nommé pour un groupe de bardes de l'âge des ténèbres.
SEED.GLOW_SPAWN,,Glow,Lueur
SEED.GLOW_SPAWN.TOOLTIP,{{VEGETABLE.GLOW_MUSHROOM.TOOLTIP}},A magic-infused mushroom that gives off light and changes colour with the seasons.,Un champignon imprégné de magie qui émet de la lumière et change de couleur au fil des saisons.
SEED.HOPS_SEED,,Hops,Houblon
SEED.HOPS_SEED.TOOLTIP,{{VEGETABLE.HOPS.TOOLTIP}},A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,Une fleur utilisée pour aromatiser la bière. Doit être planté dans {{SEASON.SPRING}}.
SEED.MILTONIA_SPAWN,,Miltonia,Miltonia
SEED.MILTONIA_SPAWN.TOOLTIP,{{VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP}},"Once thought to exist only in the Hudds region, it is now found throughout the world.","Autrefois considéré comme n'existant que dans la région de Hudds, il est maintenant présent dans le monde entier."
SEED.POTATO_SEED,,Potato,Pomme de terre
SEED.POTATO_SEED.TOOLTIP,{{VEGETABLE.POTATO.TOOLTIP}},"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Un légume racine féculent qui peut survivre {{SEASON.WINTER}} ce qui en fait un bon choix pour la plupart des colonies. Peut être planté dans {{SEASON.SPRING}}, {{SEASON.SUMMER}} ou {{SEASON.AUTOMN}}."
SEED.PURPLE_HELMET_SPAWN,,Purple helmet,Casque violet
SEED.PURPLE_HELMET_SPAWN.TOOLTIP,{{VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP}},"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.","Fat Hat, Dump Turban, Casque gonflé ; Ce champignon légendaire porte de nombreux noms. Selon la légende, il y a longtemps, de nombreuses communautés de nains vivaient entièrement sur une souche domestiquée de ce champignon."
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN,,Rociomycota,Rociomycota
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP}},A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,Un champignon tacheté blanc et noir. Il a été connu pour affecter l'apparence de ceux qui l'ingèrent.
SEED.SUNGLOW_SPAWN,,Sunglow,Sunglow
SEED.SUNGLOW_SPAWN.TOOLTIP,{{VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP}},A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,Un champignon jaune vif qui brille avec l'apparence de la lumière du soleil. Il perd cette lueur au moment où il est récolté.
SEED.SYRUP_POWDER_SPAWN,,Syrup powder,Poudre de sirop
SEED.SYRUP_POWDER_SPAWN.TOOLTIP,{{VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP}},"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.","Un champignon rond orange/jaune avec un dessous blanc. On dit qu'il a été utilisé par les mages il y a longtemps, mais dans quel but, personne ne sait."
SEED.TOMATO_SEED,,Tomato,Tomate
SEED.TOMATO_SEED.TOOLTIP,{{VEGETABLE.TOMATO.TOOLTIP}},A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,Une plante qui pousse de grandes baies rouges souvent utilisées comme légume. Ne peut être planté que dans {{SEASON.SPRING}}.
SEED.WHEAT_SEED,,Wheat,Blé
SEED.WHEAT_SEED.TOOLTIP,{{VEGETABLE.WHEAT.TOOLTIP}},"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.","Grain de céréales généralement utilisé pour la production de pain. Il peut survivre à {{SEASON.WINTER}} mais prend un certain temps à pousser, donc il est planté dans {{SEASON.SPRING}} ou {{SEASON.AUTOMN}}."

SHRUB.DESCRIPTION,Shrub or bush should do,Bush,Arbuste

STOCKPILE.GRANARY,,Granary,Grange
STOCKPILE.GRANARY.TOOLTIP,,Stores grains and seeds which will not expire.,Stocker les grains et les graines qui n'expireront pas.
STOCKPILE.PANTRY,,Pantry,Cellier
STOCKPILE.PANTRY.TOOLTIP,,Stores harvested fruit and vegetables which can expire.,Stocke fruits et légumes récoltés qui peuvent expirer.
STOCKPILE.RESOURCES,,Resources,Ressources
STOCKPILE.RESOURCES.TOOLTIP,,Stores most kinds of resources which do not belong to other types of stockpiles.,Stocke la plupart des types de ressources qui n'appartiennent pas à d'autres types de stocks.
STOCKPILE.TOOLS,,Tools,Outils
STOCKPILE.TOOLS.TOOLTIP,,Stores tools required for working on jobs.,Stocke les outils nécessaires pour travailler sur des travaux.

STONE.BASALT.ADJECTIVE,,Basalt,en basalte
STONE.BASALT.NOUN,,Basalt,Basalte
STONE.BASALT.TOOLTIP,,An igneous rock formed by the rapid cooling of lava. Almost all of the volcanic rock in the world is basalt.,Une roche ignée formée par le refroidissement rapide de la lave. Presque toute la roche volcanique dans le monde est basalte.
STONE.DOLOSTONE.ADJECTIVE,,Dolostone,en dolomie
STONE.DOLOSTONE.NOUN,,Dolostone,Dolimie
STONE.DOLOSTONE.TOOLTIP,,"A sedimentary rock mostly made up of the mineral dolomite, so it is also known as dolomite rock.","Une roche sédimentaire composée principalement de la dolomite minérale, de sorte qu'elle est également connue sous le nom de roche dolomite."
STONE.FRONITE.ADJECTIVE,,Frónite,Frónite
STONE.FRONITE.NOUN,,Frónite,Frónite
STONE.FRONITE.TOOLTIP,,A blue-hued rock mostly found on an icy island to the north. It has a high iron content.,Un rocher aux teintes bleues que l'on trouve surtout sur une île glacée au nord. Il a une teneur élevée en fer.
STONE.GRANITE.ADJECTIVE,,Granite,en granite
STONE.GRANITE.NOUN,,Granite,Granite
STONE.GRANITE.TOOLTIP,,"A common type of igneous rock. It has a large proportion of quartz, making it good for locating certain gemstones.","Un type commun de roche ignée. Il a une grande proportion de quartz, ce qui le rend bon pour localiser certaines pierres précieuses."
STONE.LIMESTONE.ADJECTIVE,,Limestone,en calcaire
STONE.LIMESTONE.NOUN,,Limestone,Calcaire
STONE.LIMESTONE.TOOLTIP,,A lightly-coloured sedimentary rock which makes for a good building material. It is also used as a flux in the production of {{METAL.STEEL.NOUN}}.,Une roche sédimentaire aux couleurs claires qui constitue un bon matériau de construction. Il est également utilisé comme flux dans la production de {{METAL.STEEL.NOUN}}.
STONE.MARBLE.ADJECTIVE,,Marble,en marbre
STONE.MARBLE.NOUN,,Marble,Marbre
STONE.MARBLE.TOOLTIP,,A metamorphic rock which is used as a high-quality material for sculpture and masonry due to its brilliant appearance.,Une roche métamorphique qui est utilisée comme matériau de haute qualité pour la sculpture et la maçonnerie en raison de son aspect brillant.
STONE.SANDSTONE.ADJECTIVE,,Sandstone,en grès
STONE.SANDSTONE.NOUN,,Sandstone,Grès
STONE.SANDSTONE.TOOLTIP,,"A sedimentary rock composed of sand-like fragments. ",Une roche sédimentaire composée de fragments de sable.
STONE.SHALE.ADJECTIVE,,Shale,en schiste
STONE.SHALE.NOUN,,Shale,Schiste
STONE.SHALE.TOOLTIP,,A fine-grained sedimentary rock composed of pressurized mud. It can be easily broken into thin layers.,Une roche sédimentaire à grains fins composée de boue pressurisée. Il peut être facilement divisé en couches minces.
STONE.SLATE.ADJECTIVE,,Slate,en ardoise
STONE.SLATE.NOUN,,Slate,Ardoise
STONE.SLATE.TOOLTIP,,A metamorphic rock that is usually formed out of {{STONE.SHALE.NOUN}}. It is often made into tiles for roofing or writing.,Roche métamorphique habituellement formée de {{STONE.SHALE.NOUN}}. Il est souvent transformé en tuiles pour la toiture ou l'écriture.

TOOL.AXE.NOUN,,Axe,Hâche
TOOL.AXE.TOOLTIP,,Used to chop down trees. The primary tool of a {{PROFESSION.WOODCUTTER}}.,Utilisé pour couper les arbres. L'outil principal d'un {{PROFESSION.WOODCUTTER}}.
TOOL.CHISEL.NOUN,,Chisel,Burin
TOOL.CHISEL.TOOLTIP,,Used to sculpt rock into shape. One of the tools used by a {{PROFESSION.STONEMASON}}.,Utilisé pour sculpter la roche en forme. Un des outils utilisés par un {{PROFESSION.STONEMASON}}.
TOOL.FISHING.ROD.NOUN,,Fishing rod,Canne à pêche
TOOL.FISHING.ROD.TOOLTIP,,Used to catch fish from a body of water. The primary tool of a {{PROFESSION.FISHER}}.,Utilisé pour attraper du poisson dans un plan d'eau. L'outil principal d'un {{PROFESSIon.FISHER}}.
TOOL.KITCHEN.KNIFE.NOUN,,Kitchen knife,Couteau de cuisine
TOOL.KITCHEN.KNIFE.TOOLTIP,,"Used to prepare food, particularly meat.","Utilisé pour préparer les aliments, en particulier la viande."
TOOL.LARGE.HAMMER.NOUN,,Large hammer,Gros marteau
TOOL.LARGE.HAMMER.TOOLTIP,,Used to bash large items of stone and metal into shape. The primary tool of a {{PROFESSION.BLACKSMITH}}.,Utilisé pour mettre en forme de gros objets de pierre et de métal. L'outil principal d'un {{PROFESSION.BLACKSMITH}}.
TOOL.PICKAXE.NOUN,,Pickaxe,Pioche
TOOL.PICKAXE.TOOLTIP,,Used to break stone into smaller pieces. The primary tool of a {{PROFESSION.MiNER}}.,Utilisé pour casser la pierre en petits morceaux. Outil principal d'un {{profession.miner}}.
TOOL.PLANE.NOUN,A carpenter's plane,Plane,Rabot
TOOL.PLANE.TOOLTIP,,Used to shave wooden furniture and items into shape. The primary tool of a {{PROFESSION.CARPENTER}}.,Utilisé pour raser les meubles en bois et les objets en forme. L'outil principal d'un {{PROFESSION.CARPENTER}}.
TOOL.ROLLING.PIN.NOUN,,Rolling pin,Rouleau à pâtisserie
TOOL.ROLLING.PIN.TOOLTIP,,Used to prepare dough. One of the tools used by a {{PROFESSION.CHEF}}.,Utilisé pour préparer la pâte. Un des outils utilisés par un {{PROFESSION.CHEF}}.
TOOL.SAW.NOUN,A carpenter's saw,Saw,Scie
TOOL.SAW.TOOLTIP,,Used to cut wood into shape. Required for cutting lumber in the {{ROOMS.SAWMILL}}.,Utilisé pour couper le bois en forme. Requis pour couper du bois dans le {{ROOMS.SAWMILL}}.
TOOL.SMALL.HAMMER.NOUN,,Hammer,Marteau
TOOL.SMALL.HAMMER.TOOLTIP,,Used to bash small items of stone and metal into shape. One of the tools used by a {{PROFESSION.BLACKSMITH}}.,Utilisé pour mettre en forme de petits objets de pierre et de métal. Un des outils utilisés par un {{PROFESSION.BLACKSMITH}}.
TOOL.TONGS.NOUN,A blacksmith's tongs,Tongs,Pinces
TOOL.TONGS.TOOLTIP,,Used to hold extremely hot metal items. Used in the process of smelting metal ore.,Utilisé pour contenir des objets métalliques extrêmement chauds. Utilisé dans le processus de fusion du minerai métallique.

TREE.DESCRIPTION,E.g. “Oak tree”,{{materialType.noun}} tree,{{materialType.noun}}

VEGETABLE.BARLEY,,Barley,Orge
VEGETABLE.BARLEY.PLURAL,,Barley,Orge
VEGETABLE.BARLEY.TOOLTIP,,"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Un grain utilisé uniquement dans la production de bière. Peut être planté dans {{SEASON.SPRING}}, {{SEASON.SUMMER}} ou {{SEASON.AUTOMN}}."
VEGETABLE.BERSERKER_MUSHROOM,,Berserker mushroom,Champignon Berserker
VEGETABLE.BERSERKER_MUSHROOM.PLURAL,,Berserker mushrooms,Champignons berserker
VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP,,A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,Un champignon avec un chapeau rose-rouge portant des taches blanches. Il a des propriétés hallucinogènes que les guerriers utilisent parfois pour préparer la bataille.
VEGETABLE.CARROT,,Carrot,Carotte
VEGETABLE.CARROT.PLURAL,,Carrots,Carottes
VEGETABLE.CARROT.TOOLTIP,,"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Un légume racinaire robuste qui survit au gel {{SEASON.WINTER}}. Les carottes poussent rapidement mais ne produisent qu'une petite récolte. Peut être planté dans {{SEASON.SPRING}}, {{SEASON.SUMMER}} ou {{SEASON.AUTOMN}}."
VEGETABLE.CORN,,Sweetcorn,Maïs doux
VEGETABLE.CORN.PLURAL,,Sweetcorn,Maïs doux
VEGETABLE.CORN.TOOLTIP,,"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.","Un grain de céréales également connu sous le nom de maïs. Il produit une récolte abondante mais prend environ 2 saisons pour croître et ne peut pas survivre à {{SEASON.WINTER}}, donc il faut planter au début de {{SEASON.SPRING}}."
VEGETABLE.DEATH_CAP_MUSHROOM,,Death cap mushroom,Casquette de mort champignon
VEGETABLE.DEATH_CAP_MUSHROOM.PLURAL,,Death cap mushrooms,Champignons bouchon de mort
VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP,,"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.",Un champignon très toxique avec un chapeau large et plat. Manger même une petite quantité causera presque certainement un empoisonnement qui peut conduire à la mort.
VEGETABLE.DRAGONFRUIT,,Dragonfruit,Dragonfruit
VEGETABLE.DRAGONFRUIT.PLURAL,,Dragonfruits,Dragonfruits
VEGETABLE.ELFSBANE_MUSHROOM,,Elfsbane mushroom,Elfsbane champignon
VEGETABLE.ELFSBANE_MUSHROOM.PLURAL,,Elfsbane mushrooms,Champignons Elfsbane
VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP,,"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.","Ce champignon a un goût simple et sans saveur pour la plupart des humanoïdes. Curieusement, il a un goût absolument dégoûtant pour les elfes, qui réagissent souvent avec des vomissements explosifs à la consommation, ou dans des cas extrêmes, une crise cardiaque."
VEGETABLE.FIST_MUSHROOM,,Fist mushroom,Poing champignon
VEGETABLE.FIST_MUSHROOM.PLURAL,,Fist mushrooms,Champignons de poing
VEGETABLE.FIST_MUSHROOM.TOOLTIP,,A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,Un champignon noir-bleu au goût métallique. Il est nommé pour un groupe de bardes de l'âge des ténèbres.
VEGETABLE.GLOW_MUSHROOM,,Glow mushroom,Champignon lueur
VEGETABLE.GLOW_MUSHROOM.PLURAL,,Glow mushrooms,Champignons lumineux
VEGETABLE.GLOW_MUSHROOM.TOOLTIP,,A magic-infused mushroom that gives off light and changes colour with the seasons.,Un champignon imprégné de magie qui émet de la lumière et change de couleur au fil des saisons.
VEGETABLE.HOPS,,Hops,Houblon
VEGETABLE.HOPS.PLURAL,,Hops,Houblon
VEGETABLE.HOPS.TOOLTIP,,A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,Une fleur utilisée pour aromatiser la bière. Doit être planté dans {{SEASON.SPRING}}.
VEGETABLE.LOQUAT,,Loquat,Loquat
VEGETABLE.LOQUAT.PLURAL,,Loquats,Loquats
VEGETABLE.MILTONIA_MUSHROOM,,Miltonia mushroom,Champignon Miltonia
VEGETABLE.MILTONIA_MUSHROOM.PLURAL,,Miltonia mushrooms,Champignons Miltonia
VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP,,"Once thought to exist only in the Hudds region, it is now found throughout the world.","Autrefois considéré comme n'existant que dans la région de Hudds, il est maintenant présent dans le monde entier."
VEGETABLE.POTATO,,Potato,Pomme de terre
VEGETABLE.POTATO.PLURAL,,Potatoes,Pommes de terre
VEGETABLE.POTATO.TOOLTIP,,"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Un légume racine féculent qui peut survivre {{SEASON.WINTER}} ce qui en fait un bon choix pour la plupart des colonies. Peut être planté dans {{SEASON.SPRING}}, {{SEASON.SUMMER}} ou {{SEASON.AUTOMN}}."
VEGETABLE.PURPLE_HELMET_MUSHROOM,,Purple helmet mushroom,Casque violet champignon
VEGETABLE.PURPLE_HELMET_MUSHROOM.PLURAL,,Purple helmet mushrooms,Casque violet champignons
VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP,,"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.","Fat Hat, Dump Turban, Casque gonflé ; Ce champignon légendaire porte de nombreux noms. Selon la légende, il y a longtemps, de nombreuses communautés de nains vivaient entièrement sur une souche domestiquée de ce champignon."
VEGETABLE.ROCIOMYCOTA_MUSHROOM,,Rociomycota mushroom,Champignon Rociomycota
VEGETABLE.ROCIOMYCOTA_MUSHROOM.PLURAL,,Rociomycota mushrooms,Champignons rociomycota
VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP,,A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,Un champignon tacheté blanc et noir. Il a été connu pour affecter l'apparence de ceux qui l'ingèrent.
VEGETABLE.SUNGLOW_MUSHROOM,,Sunglow mushroom,Champignon Sunglow
VEGETABLE.SUNGLOW_MUSHROOM.PLURAL,,Sunglow mushrooms,Champignons Sunglow
VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP,,A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,Un champignon jaune vif qui brille avec l'apparence de la lumière du soleil. Il perd cette lueur au moment où il est récolté.
VEGETABLE.SYRUP_POWDER_MUSHROOM,,Syrup powder mushroom,Sirop poudre champignons
VEGETABLE.SYRUP_POWDER_MUSHROOM.PLURAL,,Syrup powder mushrooms,Sirop champignons en poudre
VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP,,"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.","Un champignon rond orange/jaune avec un dessous blanc. On dit qu'il a été utilisé par les mages il y a longtemps, mais dans quel but, personne ne sait."
VEGETABLE.TAMARILLO,,Tamarillo,Tamarillo
VEGETABLE.TAMARILLO.PLURAL,,Tamarillos,Tamarillos
VEGETABLE.THIMBLEBERRY,,Thimbleberry,Thimbleberry
VEGETABLE.THIMBLEBERRY.PLURAL,,Thimbleberries,Dés à dé à dé
VEGETABLE.TOMATO,,Tomato,Tomate
VEGETABLE.TOMATO.PLURAL,,Tomatoes,Tomates
VEGETABLE.TOMATO.TOOLTIP,,A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,Une plante qui pousse de grandes baies rouges souvent utilisées comme légume. Ne peut être planté que dans {{SEASON.SPRING}}.
VEGETABLE.WHEAT,,Wheat,Blé
VEGETABLE.WHEAT.PLURAL,,Wheat,Blé
VEGETABLE.WHEAT.TOOLTIP,,"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.","Grain de céréales généralement utilisé pour la production de pain. Il peut survivre à {{SEASON.WINTER}} mais prend un certain temps à pousser, donc il est planté dans {{SEASON.SPRING}} ou {{SEASON.AUTOMN}}."

VITRIOL.GREEN_VITRIOL.ADJECTIVE,,Green,Vert
VITRIOL.GREEN_VITRIOL.NOUN,,Green,Vert
VITRIOL.GREEN_VITRIOL.TOOLTIP,,"Also known as iron sulfate, this salt has several uses, including as a soil additive to improve crop farming. (Usages of vitriol are not yet implemented in King under the Mountain)","Également connu sous le nom de sulfate de fer, ce sel a plusieurs utilisations, y compris comme additif du sol pour améliorer la culture agricole. (Les usages du vitriol ne sont pas encore mis en œuvre dans King under the Mountain)"

WALL.DESCRIPTION,"E.g. “Granite rock wall”, “Granite smooth stone wall”",{{materialType.adjective}} {{wallType.noun}},{{wallType.noun}} {{materialType.adjective}}
WALL.GEMS.NOUN,,Gems,Mur
WALL.ORE.NOUN,,Ore,Mur en
WALL.ROUGH_STONE.NOUN,,Rock wall,Mur de pierre
WALL.STONE_BLOCK.NOUN,,Smooth stone wall,Paroi lisse
WALL.WOODEN.NOUN,,Wood wall,Mur

WOOD.ASPEN.ADJECTIVE,,Aspen,Tremble
WOOD.ASPEN.NOUN,,Aspen,Tremble
WOOD.BAOBAB.ADJECTIVE,,Baobab,Baobab
WOOD.BAOBAB.NOUN,,Baobab,Baobab
WOOD.BARKSHROOM.ADJECTIVE,This is a made-up fantasy wood that comes from giant mushrooms,Barkshroom,Barkshroom
WOOD.BARKSHROOM.NOUN,This is a made-up fantasy wood that comes from giant mushrooms,Barkshroom,Barkshroom
WOOD.BEECH.ADJECTIVE,,Beech,en hêtre
WOOD.BEECH.NOUN,,Beech,Hêtre
WOOD.BIRCH.ADJECTIVE,,Birch,en bouleau
WOOD.BIRCH.NOUN,,Birch,Bouleau
WOOD.EBONY.ADJECTIVE,,Ebony,Ébène
WOOD.EBONY.NOUN,,Ebony,Ébène
WOOD.FIR.ADJECTIVE,,Fir,en sapin
WOOD.FIR.NOUN,,Fir,Sapin
WOOD.FUNGIWOOD.ADJECTIVE,This is a made-up fantasy wood that comes from giant mushrooms,Fungiwood,Bois de champignons
WOOD.FUNGIWOOD.NOUN,This is a made-up fantasy wood that comes from giant mushrooms,Fungiwood,Bois de champignons
WOOD.IRONWOOD.ADJECTIVE,,Ironwood,Bois de fer
WOOD.IRONWOOD.NOUN,,Ironwood,Bois de fer
WOOD.MAPLE.ADJECTIVE,,Maple,en érable
WOOD.MAPLE.NOUN,,Maple,Érable
WOOD.NUYTSIA.ADJECTIVE,,Nuytsia,Nuytsia
WOOD.NUYTSIA.NOUN,,Nuytsia,Nuytsia
WOOD.OAK.ADJECTIVE,,Oaken,en chêne
WOOD.OAK.NOUN,,Oak,Chêne
WOOD.PECAN.ADJECTIVE,,Pecan,Pacane
WOOD.PECAN.NOUN,,Pecan,Pacane
WOOD.PINE.ADJECTIVE,,Pine,en pin
WOOD.PINE.NOUN,,Pine,Pin
WOOD.RED_CEDAR.ADJECTIVE,,Red cedar,Cèdre rouge
WOOD.RED_CEDAR.NOUN,,Red cedar,Cèdre rouge
WOOD.RED_EMPEROR.ADJECTIVE,,Red emperor,Empereur rouge
WOOD.RED_EMPEROR.NOUN,,Red emperor,Empereur rouge
WOOD.ROSEWOOD.ADJECTIVE,,Rosewood,Bois de rose
WOOD.ROSEWOOD.NOUN,,Rosewood,Bois de rose
WOOD.SPRUCE.ADJECTIVE,,Spruce,L'épicéa
WOOD.SPRUCE.NOUN,,Spruce,L'épicéa
WOOD.STAR_PINE.ADJECTIVE,,Star pine,Pin étoilé
WOOD.STAR_PINE.NOUN,,Star pine,Pin étoilé
WOOD.SYCAMORE.ADJECTIVE,,Sycamore,Sycomore
WOOD.SYCAMORE.NOUN,,Sycamore,Sycomore
